CountryName,SovereignDebt
Angola,35.21806108
Egypt,292.4155315
Ethiopia,21.85097599
Nigeria,44.77241641
Pakistan,176.6383429
Canada,996.3342887
Colombia,188.4996214
Japan,9028.49174
South Korea,846.207515
Turkey,204.7511345
China,4016.166946
Democratic Republic of the Congo,3.014750778
Mexico,715.3261016
Poland,293.5933032
Brazil,1337.911872
India,1944.86179
Indonesia,469.813779
Malaysia,254.5751933
United States,26366
Bangladesh,82.18184306
Madagascar,1.227743573
Morocco,83.87349514
South Africa,271.0738541
Vietnam,107.8601201
