"iso2","country","BAU_loss_as_pc","TP_loss_as_pc"
"AR","Argentina",0.00763457827270031,-2.4515075684
"BD","Bangladesh",-2.0813808441,-15.437130928
"BR","Brazil",-0.044694043696,-3.6735727787
"CA","Canada",0.00421739090234041,-0.6195088625
"CN","China",-0.29308238626,-3.1422388554
"CO","Colombia",0.050142563879,-1.8436008692
"EG","Egypt",-0.54422402382,-4.1618518829
"ET","Ethiopia",-0.32532665133,-12.395530701
"ID","Indonesia",-0.35774037242,-6.8281722069
"IN","India",-0.17929404974,-3.9340577126
"JP","Japan",-0.039166405797,-0.62992399931
"KR","South Korea",-0.11100675911,-1.2146773338
"MA","Morocco",0.2476426512,-2.6140401363
"MG","Madagascar",-1.0554507971,-157.32687378
"MX","Mexico",0.00870550330728292,-0.85340380669
"MY","Malaysia",-0.37189304829,-4.2177619934
"NG","Nigeria",-0.077327623963,-8.5420866013
"PK","Pakistan",0.19437851012,-13.813931465
"PL","Poland",-0.086878977716,-0.74236172438
"RU","Russia",0.060096152127,-0.41649103165
"TR","Turkey",-0.07238534838,-2.0617301464
"US","United States",-0.00707269972190261,-0.43385946751
"VN","Vietnam",-0.091372549534,-8.6627120972
"AO","Angola",1.2638400793,-19.465463638
"ZA","South Africa",-0.016935775056,-0.26197063923
"CD","Democratic Republic of the Congo",1.2638400793,-19.465463638
