"country","iso2","actual","est","est_lower","est_upper","baseline_estimate"
"Angola","AO",5,3.92876666666667,3.50084711996027,4.35668621337306,5.70073333333333
"Argentina","AR",2,5.63464166666667,5.21010124043097,6.05918209290237,3.93265
"Bangladesh","BD",8,3.88881666666667,3.45798865602497,4.31964467730836,7.96018333333333
"Brazil","BR",8,7.07565833333333,6.63902821836164,7.51228844830503,8.244725
"Canada","CA",20,19.073325,18.6494318438964,19.4972181561036,19.4525916666667
"China","CN",16,9.51704166666667,9.09791336566937,9.93616996766396,15.1035833333333
"Colombia","CO",11,8.98188333333333,8.53084051546523,9.43292615120143,10.5121583333333
"Congo D.R.","CD",4,3.4444,2.95568126286659,3.93311873713341,4.67668333333333
"Egypt","EG",6,5.64941666666667,5.22279657464698,6.07603675868636,5.97686666666667
"India","IN",11,5.96386666666667,5.54219953775608,6.38553379557726,10.4046833333333
"Indonesia","ID",12,6.796175,6.37133232428358,7.22101767571642,10.7762916666667
"Japan","JP",16,15.9945166666667,15.5697418899058,16.4192914434275,16.0580416666667
"Korea","KR",18,17.051075,16.6239325404374,17.4782174595626,17.5841833333333
"Malaysia","MY",14,6.93191666666667,6.2177554860877,7.64607784724564,13.308875
"Mexico","MX",13,12.8286083333333,12.4025479629958,13.2546687036708,12.8673
"Morocco","MA",11,7.40258333333333,6.97623328772081,7.82893337894586,10.3029
"Nigeria","NG",6,6.19031666666667,5.76433096926985,6.61630236406348,6.543775
"Pakistan","PK",5,4.74978333333333,4.28843483652041,5.21113183014626,5.04156666666667
"Poland","PL",14,14.0949916666667,13.6677686962512,14.5222146370822,13.9683583333333
"Russia","RU",11,11.6708916666667,11.0938904845231,12.2478928488103,11.6181583333333
"South Africa","ZA",9,7.86400833333333,7.42334936756992,8.30466729909675,8.33541666666667
"Turkey","TR",7,6.406725,5.26538407997386,7.54806592002614,7.61101666666667
"United States","US",19,18.2471,17.7879391910002,18.7062608089998,18.6502583333333
"Vietnam","VN",9,6.10125,5.67408948829549,6.52841051170451,8.52524166666667
"Ethiopia","ET",5,6.28710833333333,5.86326407622237,6.7109525904443,7.81498333333333
"Madagascar","MG",1,2.85586666666667,2.18187589007341,3.52985744325992,5.60426666666667
